Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1683,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:36.000+0000
Hospitality,3-1472,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:12:12.000+0000
Hospitality,3-2005,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T11:12:24.000+0000
Hospitality,3-2075,Software,Software Removed,"Software uninstalled: 'Microsoft.Edge.GameAssist', Version: '1.0.3423.0', User: '<System>'",,2025-07-28T11:01:38.000+0000
Hospitality,3-2504,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:12:12.000+0000
Hospitality,3-1827,Software Patching,Software Patch Apply Patch Complete,Patch management apply patch completed. Successful: 1 Failed: 1,,2025-07-28T11:12:25.000+0000
Hospitality,3-1548,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:10:52.000+0000
Hospitality,3-2511,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T11:11:25.000+0000
Hospitality,3-1609,OS Patching,OS Patching Apply Patch Complete,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x8024401c, description: Same as HTTP status 408 - the server timed out waiting for the request.] ",,2025-07-28T11:12:17.000+0000
Hospitality,VSNO-FDRIGHT,OS Patching,OS Patching Apply Patch Complete,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T11:12:17.000+0000
