Organization,Device,Group,Activity,Description,User,Date
Hospitality,3-1215,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:57:13.000+0000
Hospitality,3-2038,Software,Software Updated,"Software updated: 'MicrosoftCorporationII.WinAppRuntime.Singleton', Version: '6000.318.2304.0', User: '<System>'",,2025-07-28T21:56:34.000+0000
Hospitality,3-2038,Software,Software Updated,"Software updated: 'Microsoft.ScreenSketch', Version: '11.2506.25.0', User: '<System>'",,2025-07-28T21:56:34.000+0000
Slifer,BOOK-KCEADFUGMH,Software,Software Updated,"Software updated: 'Microsoft OneNote - en-us', Version: '16.0.18925.20184', User: '<System>'",,2025-07-28T21:56:06.000+0000
Slifer,BOOK-KCEADFUGMH,Software,Software Updated,"Software updated: 'Microsoft 365 - en-us', Version: '16.0.18925.20184', User: '<System>'",,2025-07-28T21:56:06.000+0000
Hospitality,3-1687,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:55:58.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:56:04.000+0000
Hospitality,3-1474,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T21:55:51.000+0000
Hospitality,3-1474,Software,Software Updated,"Software updated: 'Microsoft.ApplicationCompatibilityEnhancements', Version: '1.2411.16.0', User: '<System>'",,2025-07-28T21:55:51.000+0000
Hospitality,3-1474,Software,Software Updated,"Software updated: 'Microsoft.AVCEncoderVideoExtension', Version: '1.1.17.0', User: '<System>'",,2025-07-28T21:55:51.000+0000
Slifer,3-1973,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Realtek USB GbE Family Controller #2' InterfaceIndex : 9 Status changed : 'Up' -> 'Down',,2025-07-28T21:55:43.000+0000
Slifer,3-1973,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 4 Status changed : 'Down' -> 'Up',,2025-07-28T21:55:43.000+0000
Slifer,3-1973,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'C6:3D:1A:E8:E7:A2', IPAddress: '169.254.125.163;fe80::ba16:c71e:54a9:bf94'",,2025-07-28T21:55:43.000+0000
Slifer,3-1973,Hardware,User Account Logged In,"User logged in: 'AzureAD\JulieOzog', Logged in time: '2025-07-28T21:55:13Z'",,2025-07-28T21:55:13.000+0000
Slifer,3-1973,Hardware,User Account Logged Out,User logged out : 'AzureAD\JulieOzog',,2025-07-28T21:55:03.000+0000
Slifer,2-1332,OS Patching,OS Patching Warning,OS patch download error. Failed to add catalog patch [c56cbfe5-6477-44bc-86d8-c3808040fa7a] to pre-download cache. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T21:56:06.000+0000
Hospitality,3-1681,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:55:54.000+0000
Hospitality,3-1577,Software,Software Updated,"Software updated: 'Adobe Acrobat (64-bit)', Version: '25.001.20577', User: '<System>'",,2025-07-28T21:55:06.000+0000
Hospitality,3-1687,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:55:43.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download error. Failed to add catalog patch [c56cbfe5-6477-44bc-86d8-c3808040fa7a] to pre-download cache. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T21:55:10.000+0000
Hospitality,3-1497,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T21:53:49.000+0000
Hospitality,3-2038,Software,Software Updated,"Software updated: 'MicrosoftCorporationII.WinAppRuntime.Singleton', Version: '7000.522.1444.0', User: '<System>'",,2025-07-28T21:54:33.000+0000
Slifer,2-1416,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.127.0701.0006', User: '<System>'",,2025-07-28T21:54:16.000+0000
Hospitality,3-2019,Hardware,Network Adapter Added,"Network Adapter added: 'Realtek USB GbE Family Controller #2', MacAddress: '4C:D7:17:B3:C2:39', IPAddress: '169.254.230.166;fe80::1886:8595:cd2:3c59', InstallDate: '2025-07-28T21:53:51Z'",,2025-07-28T21:53:51.000+0000
Slifer,LGARDNER-2-1315,Software,Software Updated,"Software updated: 'WebAdvisor by McAfee', Version: '4.1.1.1058', User: '<System>'",,2025-07-28T21:53:47.000+0000
Slifer,2-1332,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: 'AE:74:B1:07:53:1E', IPAddress: '169.254.186.217;fe80::231d:b11a:2b86:4d37', InstallDate: '2025-07-28T21:53:30Z'",,2025-07-28T21:53:30.000+0000
Infrastructure,SL-SH1,Hardware,Disk Partition Removed,"Disk partition removed: 'Disk #14, Partition #0'",,2025-07-28T21:53:16.000+0000
Infrastructure,SL-SH1,Hardware,User Account Logged Out,User logged out : 'EW\lallen',,2025-07-28T21:52:14.000+0000
Slifer,2-1358,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: '2E:33:58:77:D8:41', IPAddress: '169.254.246.79;fe80::87f7:ff9d:fb4d:1f7', InstallDate: '2025-07-28T21:52:58Z'",,2025-07-28T21:52:58.000+0000
Slifer,BOOK-KCEADFUGMH,SentinelOne,SentinelOne Agent Installation Failed,SentinelOne: installation failed. Installation error: Failed to retrieve the Agent UID. Please reboot your device to proceed with the installation.,,2025-07-28T21:53:30.000+0000
Hospitality,3-1681,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:52:53.000+0000
Hospitality,3-2045B,Software,Software Removed,"Software uninstalled: 'Adobe Acrobat Reader', Version: '25.001.20577', User: '<System>'",,2025-07-28T21:40:14.000+0000
Slifer,2-1354,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:52:27.000+0000
Slifer,2-1354,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:52:02.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:52:17.000+0000
Hospitality,Liz Leister's MacBook Air,Hardware,Network Adapter Config Changed,"Network Adapter changed: 'en0', MacAddress: '80:65:7c:e7:f3:c9', IPAddress: '10.0.0.148'",,2025-07-28T21:51:13.013+0000
Hospitality,3-2133,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:51:04.000+0000
Infrastructure,VSNOSVR-NAS,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:50:56.000+0000
Hospitality,3-1851,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.127.0701.0006', User: '<System>'",,2025-07-28T21:50:34.000+0000
Partners,1-1155,Hardware,User Account Logged Out,User logged out : 'EWP\adann',,2025-07-28T21:50:15.000+0000
Slifer,BHUGOLAPTOP,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:50:30.000+0000
Hospitality,3-2133,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:50:29.000+0000
Slifer,2-1492,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'E2:2E:0B:AD:86:80', IPAddress: '169.254.247.183;fe80::836b:5dd:3d59:d349', InstallDate: '2025-07-28T21:50:10Z'",,2025-07-28T21:50:10.000+0000
Hospitality,3-1215,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:50:03.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:49:33.000+0000
Slifer,BHUGOLAPTOP,Software,Software Updated,"Software updated: 'DuckDuckGo.DesktopBrowser', Version: '0.121.3.0', User: '<System>'",,2025-07-28T21:49:25.000+0000
Hospitality,3-2075,Hardware,User Account Logged In,"User logged in: 'RF\hlainez', Logged in time: '2025-07-28T21:49:05Z'",,2025-07-28T21:49:05.000+0000
Hospitality,Hanna Albertson's MacBook Air,Hardware,Network Adapter Deleted,"Network Adapter removed: 'en6', MacAddress: '00:1c:c2:5c:e2:5d', IPAddress: '10.110.1.109'",,2025-07-28T21:49:31.598+0000
Slifer,CARIGFERRARO,Software,Software Updated,"Software updated: 'Microsoft Edge', Version: '138.0.3351.109', User: '<System>'",,2025-07-28T21:49:06.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download error. Failed to add catalog patch [c56cbfe5-6477-44bc-86d8-c3808040fa7a] to pre-download cache. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T21:48:37.000+0000
Slifer,BHUGOLAPTOP,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:49:00.000+0000
Hospitality,3-1730,Hardware,Network Adapter Added,"Network Adapter added: 'EW-VPN', MacAddress: '', IPAddress: '10.70.51.133;', InstallDate: '2025-07-28T21:48:11Z'",,2025-07-28T21:48:11.000+0000
Slifer,2-1332,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 2, Rejected: 11, Pending approval: 2",,2025-07-28T21:48:54.838+0000
Slifer,2-1354,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:48:01.000+0000
Hospitality,3-1215,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:48:02.000+0000
Partners,1-1055,Hardware,Network Adapter Added,"Network Adapter added: 'Surface Ethernet Adapter', MacAddress: '1C:1A:DF:BC:CE:6D', IPAddress: '10.10.178.47;fe80::b9bd:bf31:c0b7:10e9', InstallDate: '2025-07-28T21:47:51Z'",,2025-07-28T21:47:51.000+0000
Hospitality,3-1850,Hardware,User Account Logged Out,User logged out : 'EW\MDominguez',,2025-07-28T21:47:25.000+0000
Slifer,Jays-MacBook-2023.local,Hardware,Network Adapter Config Changed,"Network Adapter changed: 'en0', MacAddress: 'a4:cf:99:79:f8:37', IPAddress: '10.11.1.116'",,2025-07-28T21:47:47.654+0000
Slifer,BHUGOLAPTOP,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: '06:6C:59:F5:CC:AB', IPAddress: '169.254.162.251;fe80::f9a4:2a54:29fd:8b8b'",,2025-07-28T21:47:34.000+0000
Slifer,BHUGOLAPTOP,Hardware,User Account Logged In,"User logged in: 'BHUGOLAPTOP\19522', Logged in time: '2025-07-28T21:46:57Z'",,2025-07-28T21:46:55.000+0000
Slifer,BHUGOLAPTOP,Hardware,User Account Logged Out,User logged out : 'BHUGOLAPTOP\19522',,2025-07-28T21:46:53.000+0000
Infrastructure,SL-SH1,Hardware,Disk Partition Removed,"Disk partition removed: 'Disk #13, Partition #0'",,2025-07-28T21:47:15.000+0000
Hospitality,3-2002,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T21:48:12.108+0000
Hospitality,3-1723,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:47:26.000+0000
Hospitality,3-1723,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:47:11.000+0000
Slifer,2-1354,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:47:31.000+0000
Slifer,CARIGFERRARO,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'C6:9D:ED:13:19:CC', IPAddress: '169.254.63.139;fe80::f612:9caa:aa97:ad01'",,2025-07-28T21:47:07.000+0000
Infrastructure,RDP-SH1,Hardware,Disk Partition Removed,"Disk partition removed: 'Disk #5, Partition #0'",,2025-07-28T21:46:29.000+0000
Slifer,2-1404,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.235.663.0', User: '<System>'",,2025-07-28T21:46:30.000+0000
Slifer,2-1404,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T21:46:30.000+0000
Hospitality,3-2002,Software,Software Updated,"Software updated: 'Microsoft Edge', Version: '138.0.3351.109', User: '<System>'",,2025-07-28T21:46:09.000+0000
Slifer,2-1358,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:45:49.000+0000
Slifer,2-1332,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:45:39.000+0000
Slifer,2-1332,OS Patching,OS Patching Warning,Updated scheduled reboot. Reason: A user needed to be prompted due to reboot settings. New Reboot Time (UTC): 2025-07-29T21:41:48Z,,2025-07-28T21:45:31.000+0000
Slifer,CARIGFERRARO,Hardware,User Account Logged Out,User logged out : 'AzureAD\CraigWalsh',,2025-07-28T21:42:57.000+0000
Hospitality,3-1680,Software,Software Updated,"Software updated: 'Microsoft.MicrosoftOfficeHub', Version: '19.2507.56041.0', User: '<System>'",,2025-07-28T21:45:09.000+0000
Hospitality,3-1680,Software,Software Updated,"Software updated: 'Microsoft.BingSearch', Version: '1.1.34.0', User: '<System>'",,2025-07-28T21:45:09.000+0000
Hospitality,3-1629,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: '52:84:92:7B:78:61', IPAddress: '169.254.149.213;fe80::710f:a881:c2bb:b00d', InstallDate: '2025-07-28T21:44:57Z'",,2025-07-28T21:44:57.000+0000
Slifer,2-1358,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:45:19.000+0000
Hospitality,3-2002,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 1, Rejected: 12, Pending approval: 1",,2025-07-28T21:45:36.905+0000
Partners,1-1155,Hardware,User Account Logged In,"User logged in: 'EWP\adann', Logged in time: '2025-07-28T21:44:22Z'",,2025-07-28T21:44:22.000+0000
Infrastructure,VSNOCAPS,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:44:33.000+0000
Hospitality,3-1903,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:44:49.000+0000
Hospitality,3-2002,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:44:42.000+0000
Hospitality,3-2002,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'DE:46:28:0C:40:1D', IPAddress: '169.254.234.87;fe80::d393:4dbb:1937:6509'",,2025-07-28T21:44:14.000+0000
Slifer,2-1358,Software Patching,Software Patch Scan Complete,Patch management scan FAILED to complete. ERROR: Unknown WPM error code,,2025-07-28T21:44:43.000+0000
Slifer,2-1492,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:44:44.000+0000
Slifer,2-1492,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:44:08.000+0000
Slifer,2-1358,Software,Software Updated,"Software updated: 'Microsoft.YourPhone', Version: '1.25061.51.0', User: '<System>'",,2025-07-28T21:44:00.000+0000
Slifer,2-1358,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:43:41.000+0000
Hospitality,3-1479.corp.viceroysnowmass.com,Hardware,User Account Logged In,"User logged in: 'VSNOW\Yuki.Lo', Logged in time: '2025-07-28T21:43:32Z'",,2025-07-28T21:43:31.000+0000
Hospitality,3-1919,Software,Software Updated,"Software updated: 'Microsoft Teams Meeting Add-in for Microsoft Office', Version: '1.25.18302', User: '<System>'",,2025-07-28T21:43:06.000+0000
Hospitality,3-2002,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:43:40.000+0000
Hospitality,3-1903,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:21:17.000+0000
Slifer,HESELLSVAIL,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:43:13.000+0000
Slifer,HESELLSVAIL,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:42:47.000+0000
Slifer,2-1492,OS Patching,OS Patching Apply Patch Complete,Patch management update is complete.,,2025-07-28T21:43:46.779+0000
Hospitality,3-2002,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T21:43:40.777+0000
Hospitality,3-2002,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T21:43:40.642+0000
Slifer,2-1358,OS Patching,OS Patching Warning,Updated scheduled reboot. Reason: A user needed to be prompted due to reboot settings. New Reboot Time (UTC): 2025-07-29T21:42:56Z,,2025-07-28T21:43:01.000+0000
Slifer,2-1358,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:42:56.000+0000
Slifer,2-1358,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: '2E:33:58:77:D8:41', IPAddress: '169.254.246.79;fe80::87f7:ff9d:fb4d:1f7'",,2025-07-28T21:42:51.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:43:01.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download error. Failed to add catalog patch [c56cbfe5-6477-44bc-86d8-c3808040fa7a] to pre-download cache. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T21:42:59.000+0000
Slifer,2-1332,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: 'AE:74:B1:07:53:1E', IPAddress: '169.254.186.217;fe80::231d:b11a:2b86:4d37'",,2025-07-28T21:42:38.000+0000
Slifer,2-1358,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T21:43:23.000+0000
Infrastructure,RA-SH1,Hardware,User Account Logged Out,User logged out : 'RF\dcastro',,2025-07-28T21:41:16.000+0000
Slifer,2-1358,Script,Completed,This machine cannot run any more Windows Patch Management jobs because there is a pending reboot. Please reboot the machine.,,2025-07-28T21:42:55.000+0000
Slifer,2-1332,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T21:42:14.597+0000
Infrastructure,SL-SH1,Hardware,Disk Partition Removed,"Disk partition removed: 'Disk #2, Partition #0'",,2025-07-28T21:41:13.000+0000
Infrastructure,SL-SH1,Hardware,User Account Logged In,"User logged in: 'EW\marmijo', Logged in time: '2025-07-28T21:40:39Z'",,2025-07-28T21:40:40.000+0000
Hospitality,3-1647,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:41:30.000+0000
Slifer,2-1332,Script,Completed,This machine cannot run any more Windows Patch Management jobs because there is a pending reboot. Please reboot the machine.,,2025-07-28T21:41:52.000+0000
Slifer,HESELLSVAIL,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Realtek PCIe GbE Family Controller' InterfaceIndex : 13 Status changed : 'Dormant' -> 'Down',,2025-07-28T21:41:06.000+0000
Hospitality,3-1992,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.256.502.0', User: '<System>'",,2025-07-28T21:40:52.000+0000
Hospitality,3-1647,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:41:00.000+0000
Hospitality,3-2045B,Software,Software Added,"Software installed: 'AdobeAcrobatReaderCoreApp', Version: '24.0.0.1', InstallDate: '20250728', User: '<System>'",,2025-07-28T21:40:14.000+0000
Hospitality,3-2045B,Software,Software Added,"Software installed: 'Adobe Acrobat (64-bit)', Version: '25.001.20577', InstallDate: '20250728', User: '<System>'",,2025-07-28T21:40:14.000+0000
Hospitality,LAPTOP-L3KOH0AH,Software,Software Updated,"Software updated: 'WebAdvisor by McAfee', Version: '4.1.1.1058', User: '<System>'",,2025-07-28T21:39:59.000+0000
Infrastructure,IT-SH2,Hardware,User Account Logged Out,User logged out : 'EW\PAAPaugh',,2025-07-28T21:39:20.000+0000
Hospitality,Susan Mitchell's MacBook Air,Hardware,Disk Volume Removed,Disk volume removed: '/Volumes/.timemachine/CED610E9-5654-4506-AF7A-82592496A9CE/2024-07-01-062244.backup',,2025-07-28T21:40:17.723+0000
Hospitality,3-1629,Software,Software Updated,"Software updated: 'Microsoft 365 Apps for enterprise - en-us', Version: '16.0.18925.20184', User: '<System>'",,2025-07-28T21:40:00.000+0000
Slifer,2-1492,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 0, Rejected: 12, Pending approval: 0",,2025-07-28T21:40:21.641+0000
Slifer,HESELLSVAIL,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Realtek PCIe GbE Family Controller' InterfaceIndex : 13 Status changed : 'Down' -> 'Dormant',,2025-07-28T20:13:05.000+0000
Hospitality,3-1011,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:38:43.000+0000
Slifer,2-1492,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Microsoft Wi-Fi Direct Virtual Adapter #2', MacAddress: 'E2:2E:0B:AD:86:80', IPAddress: '169.254.247.183;fe80::836b:5dd:3d59:d349'",,2025-07-28T21:39:14.000+0000
Slifer,2-1492,Software,Software Updated,"Software updated: 'Microsoft.YourPhone', Version: '1.25061.51.0', User: '<System>'",,2025-07-28T21:39:10.000+0000
Slifer,2-1492,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:39:04.000+0000
Slifer,2-1492,Hardware,User Account Logged In,"User logged in: 'AzureAD\EllieManzi', Logged in time: '2025-07-28T21:38:41Z'",,2025-07-28T21:38:41.000+0000
Slifer,2-1492,Hardware,User Account Logged Out,User logged out : 'AzureAD\EllieManzi',,2025-07-28T21:38:36.000+0000
Hospitality,3-2126,Software,Software Updated,"Software updated: 'Microsoft.OutlookForWindows', Version: '1.2025.716.500', User: '<System>'",,2025-07-28T21:38:47.000+0000
Hospitality,3-2126,Software,Software Updated,"Software updated: 'Microsoft.OneDriveSync', Version: '25130.706.4.0', User: '<System>'",,2025-07-28T21:38:47.000+0000
Hospitality,3-2126,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.130.0706.0004', User: '<System>'",,2025-07-28T21:38:47.000+0000
Hospitality,3-1647,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6 AX201 160MHz' InterfaceIndex : 9 Status changed : 'Up' -> 'Down',,2025-07-28T21:38:43.000+0000
Hospitality,3-1647,Hardware,Network Adapter Added,"Network Adapter added: 'Realtek USB GbE Family Controller #2', MacAddress: 'A0:29:19:B8:D9:8D', IPAddress: '10.0.230.128;fe80::d7f:e309:e715:dfbe', InstallDate: '2025-07-28T21:38:43Z'",,2025-07-28T21:38:43.000+0000
Hospitality,3-1921,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Wi-Fi 6E AX211 160MHz' InterfaceIndex : 17 Status changed : 'Down' -> 'Up',,2025-07-28T21:38:11.000+0000
Hospitality,3-1921,Hardware,Network Adapter Deleted,"Network Adapter removed: 'Realtek USB GbE Family Controller #3', MacAddress: 'AC:1A:3D:88:A0:15', IPAddress: '10.1.97.139;fe80::2a1a:57ed:ef5f:dad1'",,2025-07-28T21:38:11.000+0000
Infrastructure,VSNOCAPS,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:38:11.000+0000
Slifer,2-1413,OS Patching,OS Patching Warning,OS patch download is complete. 0 update(s) downloaded.,,2025-07-28T21:38:04.000+0000
Hospitality,3-1509,Software,Software Updated,"Software updated: 'Microsoft.OneDriveSync', Version: '25127.701.6.0', User: '<System>'",,2025-07-28T21:38:03.000+0000
Hospitality,3-1509,Software,Software Updated,"Software updated: 'Microsoft OneDrive', Version: '25.127.0701.0006', User: '<System>'",,2025-07-28T21:38:03.000+0000
Slifer,2-1492,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:38:03.000+0000
Hospitality,3-1629,OS Patching,OS Patching Warning,OS patch download error. Patch download failed: -3005.,,2025-07-28T21:37:39.000+0000
Slifer,2-1492,Software Patching,Software Patch Scan Started,Patch management scan has started.,,2025-07-28T21:38:25.004+0000
Slifer,2-1492,OS Patching,OS Patching Apply Patch Started,Patch management update has started.,,2025-07-28T21:38:12.043+0000
Hospitality,3-1730,Hardware,Network Adapter Deleted,"Network Adapter removed: 'EW-VPN', MacAddress: '', IPAddress: '10.70.51.4;'",,2025-07-28T21:37:13.000+0000
Slifer,2-1413,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:37:29.000+0000
Teams Rooms,Avon Training Room,Hardware,Network Adapter Added,"Network Adapter added: 'Microsoft Wi-Fi Direct Virtual Adapter #4', MacAddress: '02:D4:9E:FB:AE:D2', IPAddress: '169.254.7.82;fe80::2e8e:68c1:3c2a:3f70', InstallDate: '2025-07-28T21:37:09Z'",,2025-07-28T21:37:09.000+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:37:01.000+0000
Hospitality,3-1474,Hardware,User Account Logged In,"User logged in: 'VSNOW\Edgar.Hernandez', Logged in time: '2025-07-28T21:36:21Z'",,2025-07-28T21:36:21.000+0000
Hospitality,3-1943,Hardware,Network Adapter Status Changed,Network Adapter Status changed:  InterfaceName : 'Intel(R) Ethernet Connection (17) I219-LM' InterfaceIndex : 3 Status changed : 'Down' -> 'Up',,2025-07-28T21:36:13.000+0000
Hospitality,3-2177,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:36:39.000+0000
Hospitality,3-1629,OS Patching,OS Patching Warning,OS patch download has started.,,2025-07-28T21:36:24.000+0000
Hospitality,3-1629,OS Patching,OS Patching Failure,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T21:36:19.000+0000
Hospitality,3-1629,Software,Software Updated,"Software updated: 'Microsoft Edge', Version: '138.0.3351.109', User: '<System>'",,2025-07-28T21:35:58.000+0000
Hospitality,3-1629,Software Patching,Software Patch Scan Complete,"Software Updates Scan Complete : Approved: 1, Rejected: 12, Pending approval: 1",,2025-07-28T21:36:27.887+0000
Hospitality,OLDGREENWOOD-MA,OS Patching,OS Patching Warning,OS patch download error. Failed to add catalog patch [c56cbfe5-6477-44bc-86d8-c3808040fa7a] to pre-download cache. 0 update(s) downloaded. 1 update(s) failed to download.,,2025-07-28T21:36:18.000+0000
Hospitality,3-1629,OS Patching,OS Patching Apply Patch Complete,"Patch management update FAILED to complete. ERROR: Patch management update FAILED to complete. Error:[-3005 Windows communication error, Find failed when performing missing patch search] [Windows error code: 0x80240438, description: There is no route or network connectivity to the endpoint.] ",,2025-07-28T21:36:14.814+0000
Infrastructure,SL-SH1,Hardware,User Account Logged Out,User logged out : 'EW\scampbell',,2025-07-28T21:34:14.000+0000
Slifer,2-1413,Hardware,Network Adapter Added,"Network Adapter added: 'Bluetooth Device (Personal Area Network)', MacAddress: 'D4:D8:53:49:79:28', IPAddress: '169.254.147.163;fe80::b921:b500:4094:ece0', InstallDate: '2025-07-28T21:35:12Z'",,2025-07-28T21:35:12.000+0000
Hospitality,3-2101,Software,Software Updated,"Software updated: 'SpotifyAB.SpotifyMusic', Version: '1.245.454.0', User: '<System>'",,2025-07-28T21:34:55.000+0000
